2025-06-18 15:55:41,556 [DEBUG] 📁 Log file created at: \\mull.sms.ed.ac.uk\home\s1834431\Win7\Desktop\fem_model\post_processing\results\job_0011_2025-06-18_15-55-33-619286_pid33080_9a2e6874\logs\ModifyGlobalSystem.log (Module: modification, Line: 97)
2025-06-18 15:55:41,557 [INFO] 🔧 Applying stabilized boundary conditions... (Module: modification, Line: 115)
2025-06-18 15:55:41,558 [DEBUG] Computed penalty value: 4.48e+51 (Module: modification, Line: 172)
2025-06-18 15:55:41,559 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: modification, Line: 263)
2025-06-18 15:55:41,560 [DEBUG] Original Non-zeros: 1204
Modified Non-zeros: 1198
Penalty Value: 4.48e+51
Stabilization Factor: 4.48e+41 (Module: modification, Line: 275)
2025-06-18 15:55:41,577 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
 295  289 -5.600112e+14
 366  366  4.000000e+11
 219  219  1.313076e+08
 123  129 -6.565378e+07
  80   86 -2.240011e+15
 435  435  1.313076e+08
 134  134  4.480022e+15
  67   73 -5.600112e+14
 500  500  4.480022e+15
 384  378 -2.000000e+11
 230  230  4.480022e+15
 205  211 -5.600112e+14
  79   79  1.120022e+15
 541  535 -5.600112e+14
 211  205 -5.600112e+14
 164  158 -2.240011e+15
 384  384  4.000000e+11
 255  249 -6.565378e+07
 429  429  1.313076e+08
 411  417 -6.565378e+07
 462  462  4.000000e+11
 474  468 -2.000000e+11
 180  186 -2.000000e+11
  51   45 -6.565378e+07
  61   55 -5.600112e+14
 423  423  1.313076e+08
  21   27 -6.565378e+07
 300  294 -2.000000e+11
  75   69 -6.565378e+07
 464  464  4.480022e+15
  84   78 -2.000000e+11
 512  512  4.480022e+15
  24   30 -2.000000e+11
 288  288  4.000000e+11
 315  321 -6.565378e+07
 278  278  4.480022e+15
 524  530 -2.240011e+15
 259  265 -5.600112e+14
 122  116 -2.240011e+15
  50   44 -2.240011e+15
 115  115  1.120022e+15
 417  411 -6.565378e+07
 368  368  4.480022e+15
 336  342 -2.000000e+11
 567  567  1.313076e+08
 366  360 -2.000000e+11
 405  411 -6.565378e+07
  27   21 -6.565378e+07
 247  241 -5.600112e+14
  36   30 -2.000000e+11
  43   49 -5.600112e+14
 153  147 -6.565378e+07
  99  105 -6.565378e+07
 121  127 -5.600112e+14
  93   99 -6.565378e+07
 565  571 -5.600112e+14
 402  396 -2.000000e+11
 326  320 -2.240011e+15
 290  296 -2.240011e+15
   7   13 -5.600112e+14
 396  402 -2.000000e+11
 289  283 -5.600112e+14
 585  591 -6.565378e+07
 457  457  1.120022e+15
 393  393  1.313076e+08
 249  249  1.313076e+08
 194  200 -2.240011e+15
 474  480 -2.000000e+11
 559  559  1.120022e+15
 169  175 -5.600112e+14
 216  210 -2.000000e+11
 369  363 -6.565378e+07
 134  140 -2.240011e+15
 194  194  4.480022e+15
   6    6  4.000000e+11
 138  132 -2.000000e+11
 577  571 -5.600112e+14
  24   18 -2.000000e+11
 308  308  4.480022e+15
 308  302 -2.240011e+15
 584  584  4.480022e+15
 499  505 -5.600112e+14
  62   68 -2.240011e+15
 139  145 -5.600112e+14
  74   68 -2.240011e+15
 487  481 -5.600112e+14
 102   96 -2.000000e+11
  56   56  4.480022e+15
 345  351 -6.565378e+07
 246  252 -2.000000e+11
 385  379 -5.600112e+14
  14    8 -2.240011e+15
 126  120 -2.000000e+11
  30   24 -2.000000e+11
  85   85  1.120022e+15
 354  354  4.000000e+11
 552  552  4.000000e+11
 362  362  4.480022e+15
 153  159 -6.565378e+07
  90   96 -2.000000e+11
 453  459 -6.565378e+07
 522  522  4.000000e+11
 342  336 -2.000000e+11
 498  492 -2.000000e+11
 109  109  1.120022e+15
 176  170 -2.240011e+15
 157  157  1.120022e+15
 111  117 -6.565378e+07
 590  590  4.480022e+15
 534  528 -2.000000e+11
 193  193  1.120022e+15
  87   81 -6.565378e+07
 213  219 -6.565378e+07
 476  470 -2.240011e+15
   9    9  1.313076e+08
 265  265  1.120022e+15
  38   32 -2.240011e+15
  49   49  1.120022e+15
 194  188 -2.240011e+15
 189  189  1.313076e+08
 133  133  1.120022e+15
 156  162 -2.000000e+11
 567  573 -6.565378e+07
 210  204 -2.000000e+11
 583  577 -5.600112e+14
 289  295 -5.600112e+14
  25   25  1.120022e+15
 108  114 -2.000000e+11
 396  396  4.000000e+11
 324  318 -2.000000e+11
 426  432 -2.000000e+11
 360  366 -2.000000e+11
 261  255 -6.565378e+07
 146  146  4.480022e+15
 470  464 -2.240011e+15
  39   33 -6.565378e+07
  93   87 -6.565378e+07
 402  402  4.000000e+11
 564  570 -2.000000e+11
 249  255 -6.565378e+07
  62   56 -2.240011e+15
 151  145 -5.600112e+14
  42   48 -2.000000e+11
  27   27  1.313076e+08
 481  487 -5.600112e+14
 170  164 -2.240011e+15
 285  285  1.313076e+08
 348  354 -2.000000e+11
 417  417  1.313076e+08
 207  213 -6.565378e+07
 549  555 -6.565378e+07
 147  147  1.313076e+08
 266  260 -2.240011e+15
  81   87 -6.565378e+07
 171  177 -6.565378e+07
 252  258 -2.000000e+11
  26   32 -2.240011e+15
 373  367 -5.600112e+14
 235  235  1.120022e+15
 223  229 -5.600112e+14
  92   92  4.480022e+15
 602  602  2.240011e+15
 459  459  1.313076e+08
 216  222 -2.000000e+11
