[element_types]
EulerBernoulliBeamElement

[node_ids]   [x]          [y]        [z]        [connectivity]
589          4.708709     0.0        0.0        (589, 590)
590          4.716717     0.0        0.0        (590, 591)
591          4.724725     0.0        0.0        (591, 592)
592          4.732733     0.0        0.0        (592, 593)
593          4.740741     0.0        0.0        (593, 594)
594          4.748749     0.0        0.0        (594, 595)
595          4.756757     0.0        0.0        (595, 596)
596          4.764765     0.0        0.0        (596, 597)
597          4.772773     0.0        0.0        (597, 598)
598          4.780781     0.0        0.0        (598, 599)
599          4.788789     0.0        0.0        (599, 600)
600          4.796797     0.0        0.0        (600, 601)
601          4.804805     0.0        0.0        (601, 602)
602          4.812813     0.0        0.0        (602, 603)
603          4.820821     0.0        0.0        (603, 604)
604          4.828829     0.0        0.0        (604, 605)
605          4.836837     0.0        0.0        (605, 606)
606          4.844845     0.0        0.0        (606, 607)
607          4.852853     0.0        0.0        (607, 608)
608          4.860861     0.0        0.0        (608, 609)
609          4.868869     0.0        0.0        (609, 610)
610          4.876877     0.0        0.0        (610, 611)
611          4.884885     0.0        0.0        (611, 612)
612          4.892893     0.0        0.0        (612, 613)
613          4.900901     0.0        0.0        (613, 614)
614          4.908909     0.0        0.0        (614, 615)
615          4.916917     0.0        0.0        (615, 616)
616          4.924925     0.0        0.0        (616, 617)
617          4.932933     0.0        0.0        (617, 618)
618          4.940941     0.0        0.0        (618, 619)
619          4.948949     0.0        0.0        (619, 620)
620          4.956957     0.0        0.0        (620, 621)
621          4.964965     0.0        0.0        (621, 622)
622          4.972973     0.0        0.0        (622, 623)
623          4.980981     0.0        0.0        (623, 624)
624          4.988989     0.0        0.0        (624, 625)
625          4.996997     0.0        0.0        (625, 626)
