2025-06-15 21:13:18,575 [DEBUG] 📁 Log file created at: \\mull.sms.ed.ac.uk\home\s1834431\Win7\Desktop\fem_model\post_processing\results\job_0010_2025-06-15_21-13-12-698996_pid39132_b4fcff10\logs\ModifyGlobalSystem.log (Module: boundary_conditions, Line: 82)
2025-06-15 21:13:18,576 [INFO] 🔧 Applying stabilized boundary conditions... (Module: boundary_conditions, Line: 100)
2025-06-15 21:13:18,577 [DEBUG] Computed penalty value: 4.48e+51 (Module: boundary_conditions, Line: 126)
2025-06-15 21:13:18,579 [DEBUG] 
======================================== System Diagnostics ======================================== (Module: boundary_conditions, Line: 171)
2025-06-15 21:13:18,579 [DEBUG] Original Non-zeros: 1204
Modified Non-zeros: 1398
Penalty Value: 4.48e+51
Stabilization Factor: 4.48e+41 (Module: boundary_conditions, Line: 183)
2025-06-15 21:13:18,590 [DEBUG] 
Matrix Sample (COO format):
 Row  Col         Value
 169  169  4.480022e+41
  31   37 -5.600112e+14
 505  511 -5.600112e+14
 533  533  4.480022e+41
 501  501  4.480022e+41
 162  168 -2.000000e+11
  67   73 -5.600112e+14
 154  154  4.480022e+41
 402  396 -2.000000e+11
 146  152 -2.240011e+15
 215  215  4.480022e+41
 417  411 -6.565378e+07
 270  276 -2.000000e+11
 363  369 -6.565378e+07
 169  175 -5.600112e+14
 110  110  4.480022e+41
 578  572 -2.240011e+15
 565  571 -5.600112e+14
 101  101  4.480022e+41
 421  427 -5.600112e+14
 153  147 -6.565378e+07
 378  384 -2.000000e+11
 535  535  4.480022e+41
 339  345 -6.565378e+07
 183  183  4.480022e+41
 240  234 -2.000000e+11
 504  498 -2.000000e+11
 559  565 -5.600112e+14
 443  443  4.480022e+41
 439  439  4.480022e+41
 544  544  4.480022e+41
 526  526  4.480022e+41
 257  257  4.480022e+41
 114  108 -2.000000e+11
 383  383  4.480022e+41
 259  259  4.480022e+41
 465  471 -6.565378e+07
 535  529 -5.600112e+14
  72   78 -2.000000e+11
 592  592  4.480022e+41
 199  193 -5.600112e+14
 525  519 -6.565378e+07
 577  583 -5.600112e+14
 537  537  4.480022e+41
 556  556  4.480022e+41
 112  112  4.480022e+41
 519  525 -6.565378e+07
 469  475 -5.600112e+14
 338  338  4.480022e+41
 381  375 -6.565378e+07
 390  384 -2.000000e+11
 474  468 -2.000000e+11
  91   97 -5.600112e+14
 597  591 -6.565378e+07
 368  374 -2.240011e+15
  71   71  4.480022e+41
 229  235 -5.600112e+14
 337  337  4.480022e+41
 145  151 -5.600112e+14
 138  132 -2.000000e+11
 534  540 -2.000000e+11
  87   93 -6.565378e+07
 513  519 -6.565378e+07
 193  187 -5.600112e+14
 102   96 -2.000000e+11
  39   39  4.480022e+41
 212  206 -2.240011e+15
  19   19  4.480022e+41
 219  213 -6.565378e+07
 241  241  4.480022e+41
 351  345 -6.565378e+07
 181  181  4.480022e+41
 261  255 -6.565378e+07
 386  380 -2.240011e+15
  13   19 -5.600112e+14
 104  110 -2.240011e+15
 463  469 -5.600112e+14
 518  518  4.480022e+41
 560  560  4.480022e+41
 264  270 -2.000000e+11
 516  510 -2.000000e+11
  31   25 -5.600112e+14
 330  324 -2.000000e+11
 367  361 -5.600112e+14
 543  537 -6.565378e+07
 325  325  4.480022e+41
 385  385  4.480022e+41
 211  211  4.480022e+41
 477  477  4.480022e+41
 192  198 -2.000000e+11
 460  460  4.480022e+41
 364  364  4.480022e+41
 164  158 -2.240011e+15
 150  150  4.480022e+41
 109  115 -5.600112e+14
 499  493 -5.600112e+14
 498  504 -2.000000e+11
 342  348 -2.000000e+11
 392  398 -2.240011e+15
 218  224 -2.240011e+15
   7    7  4.480022e+41
 182  176 -2.240011e+15
 358  358  4.480022e+41
  75   75  4.480022e+41
 603  603  4.480022e+41
  20   26 -2.240011e+15
 480  474 -2.000000e+11
 387  387  4.480022e+41
 235  241 -5.600112e+14
 426  432 -2.000000e+11
 359  359  4.480022e+41
 447  453 -6.565378e+07
 164  170 -2.240011e+15
 583  583  4.480022e+41
 432  426 -2.000000e+11
  32   26 -2.240011e+15
 500  506 -2.240011e+15
 237  231 -6.565378e+07
  46   46  4.480022e+41
 152  152  4.480022e+41
 347  347  4.480022e+41
 342  342  4.480022e+41
 135  135  4.480022e+41
 475  481 -5.600112e+14
  97  103 -5.600112e+14
 385  379 -5.600112e+14
  66   66  4.480022e+41
 386  386  4.480022e+41
 247  241 -5.600112e+14
 348  348  4.480022e+41
 123  123  4.480022e+41
 554  548 -2.240011e+15
  38   32 -2.240011e+15
 299  299  4.480022e+41
 110  116 -2.240011e+15
  98   92 -2.240011e+15
 150  156 -2.000000e+11
  14    8 -2.240011e+15
  64   64  4.480022e+41
 170  164 -2.240011e+15
 258  264 -2.000000e+11
 116  110 -2.240011e+15
 146  140 -2.240011e+15
 348  354 -2.000000e+11
 465  465  4.480022e+41
  59   59  4.480022e+41
  50   56 -2.240011e+15
 264  264  4.480022e+41
 279  273 -6.565378e+07
 417  417  4.480022e+41
  56   62 -2.240011e+15
  42   48 -2.000000e+11
 536  536  4.480022e+41
 271  265 -5.600112e+14
 404  404  4.480022e+41
 559  553 -5.600112e+14
 566  572 -2.240011e+15
  51   57 -6.565378e+07
 373  367 -5.600112e+14
 402  402  4.480022e+41
 445  451 -5.600112e+14
 445  439 -5.600112e+14
 119  119  4.480022e+41
 451  457 -5.600112e+14
 482  488 -2.240011e+15
 488  494 -2.240011e+15
 146  146  4.480022e+41
 330  336 -2.000000e+11
 116  122 -2.240011e+15
 500  494 -2.240011e+15
  13    7 -5.600112e+14
 356  350 -2.240011e+15
 282  288 -2.000000e+11
 306  306  4.480022e+41
  17   17  4.480022e+41
  67   67  4.480022e+41
 553  547 -5.600112e+14
 205  199 -5.600112e+14
 518  512 -2.240011e+15
 573  567 -6.565378e+07
 169  163 -5.600112e+14
 392  386 -2.240011e+15
 506  512 -2.240011e+15
 458  458  4.480022e+41
 546  540 -2.000000e+11
 318  324 -2.000000e+11
 450  444 -2.000000e+11
 337  331 -5.600112e+14
 151  145 -5.600112e+14
   6    6  4.480022e+41
  77   77  4.480022e+41
 420  420  4.480022e+41
  34   34  4.480022e+41
 597  603 -6.565378e+07
 244  244  4.480022e+41
  24   24  4.480022e+41
 514  514  4.480022e+41
 111  105 -6.565378e+07
 155  155  4.480022e+41
 445  445  4.480022e+41
 374  374  4.480022e+41
 601  601  4.480022e+41
 351  357 -6.565378e+07
 569  569  4.480022e+41
 418  418  4.480022e+41
 342  336 -2.000000e+11
 495  495  4.480022e+41
 223  229 -5.600112e+14
 234  240 -2.000000e+11
 270  264 -2.000000e+11
 602  596 -2.240011e+15
 222  222  4.480022e+41
 264  258 -2.000000e+11
  66   60 -2.000000e+11
 129  135 -6.565378e+07
 291  285 -6.565378e+07
 466  466  4.480022e+41
 100  100  4.480022e+41
  33   27 -6.565378e+07
 441  441  4.480022e+41
 462  468 -2.000000e+11
 414  408 -2.000000e+11
 328  328  4.480022e+41
  78   78  4.480022e+41
 108  108  4.480022e+41
 248  254 -2.240011e+15
 471  465 -6.565378e+07
 343  349 -5.600112e+14
 315  309 -6.565378e+07
 487  481 -5.600112e+14
 483  477 -6.565378e+07
 571  565 -5.600112e+14
  62   68 -2.240011e+15
 224  218 -2.240011e+15
 408  414 -2.000000e+11
 335  335  4.480022e+41
 350  350  4.480022e+41
 344  338 -2.240011e+15
  74   68 -2.240011e+15
  32   38 -2.240011e+15
  36   42 -2.000000e+11
 201  207 -6.565378e+07
 216  222 -2.000000e+11
  80   86 -2.240011e+15
 251  251  4.480022e+41
 217  223 -5.600112e+14
 366  372 -2.000000e+11
 284  284  4.480022e+41
 576  570 -2.000000e+11
 468  462 -2.000000e+11
 306  300 -2.000000e+11
 136  136  4.480022e+41
 519  519  4.480022e+41
 391  391  4.480022e+41
 312  306 -2.000000e+11
 235  235  4.480022e+41
 188  182 -2.240011e+15
 591  585 -6.565378e+07
 412  412  4.480022e+41
 189  189  4.480022e+41
 133  127 -5.600112e+14
  18   12 -2.000000e+11
 163  169 -5.600112e+14
 433  439 -5.600112e+14
 564  564  4.480022e+41
 277  283 -5.600112e+14
 224  230 -2.240011e+15
 118  118  4.480022e+41
 481  487 -5.600112e+14
 147  141 -6.565378e+07
 531  537 -6.565378e+07
 500  500  4.480022e+41
 210  216 -2.000000e+11
 432  438 -2.000000e+11
 369  375 -6.565378e+07
 420  426 -2.000000e+11
 604  604  4.480022e+41
 182  182  4.480022e+41
 584  590 -2.240011e+15
 239  239  4.480022e+41
 422  416 -2.240011e+15
 194  200 -2.240011e+15
  57   57  4.480022e+41
 543  543  4.480022e+41
 109  109  4.480022e+41
 436  436  4.480022e+41
 570  564 -2.000000e+11
 184  184  4.480022e+41
  37   31 -5.600112e+14
 340  340  4.480022e+41
 456  456  4.480022e+41
 156  162 -2.000000e+11
 331  325 -5.600112e+14
 580  580  4.480022e+41
  29   29  4.480022e+41
 376  376  4.480022e+41
 475  475  4.480022e+41
 601  595 -5.600112e+14
 297  303 -6.565378e+07
 213  213  4.480022e+41
 258  258  4.480022e+41
 362  356 -2.240011e+15
 349  355 -5.600112e+14
 158  158  4.480022e+41
 310  310  4.480022e+41
 124  124  4.480022e+41
 361  361  4.480022e+41
  25   25  4.480022e+41
  42   42  4.480022e+41
 170  170  4.480022e+41
 193  199 -5.600112e+14
 508  508  4.480022e+41
 373  373  4.480022e+41
 302  302  4.480022e+41
 326  320 -2.240011e+15
 176  170 -2.240011e+15
 440  440  4.480022e+41
  69   69  4.480022e+41
 183  177 -6.565378e+07
 476  476  4.480022e+41
 290  296 -2.240011e+15
 582  582  4.480022e+41
 363  363  4.480022e+41
 590  590  4.480022e+41
 588  588  4.480022e+41
 180  180  4.480022e+41
  69   75 -6.565378e+07
 120  120  4.480022e+41
  55   55  4.480022e+41
 293  293  4.480022e+41
 421  421  4.480022e+41
   4    4  4.480022e+51
 253  247 -5.600112e+14
 366  360 -2.000000e+11
 594  594  4.480022e+41
